text,sentiment
"Overall, I was really disappointed with this course, wouldn't buy again.",negative
"Honestly, Everything felt cheap and rushed, deeply disappointing given the price.",negative
"In my opinion, Awful experience, the game didn't work as advertised at all.",negative
"In my opinion, Fell short in every way imaginable, wouldn't wish this on anyone.",negative
"Overall, Average at best, wouldn't go out of my way to try it again soon.",neutral
"The show works as described, no complaints but no praise either.",neutral
"Overall, Somewhere in the middle for me, has its ups and downs like most things.",neutral
"I'm thrilled with how this turned out, couldn't ask for more honestly.",positive
"Overall, Completely underwhelmed, the whole thing felt rushed and cheaply put together.",negative
"Completely underwhelmed, the whole thing felt rushed and cheaply put together.",negative
"Overall, What a fantastic restaurant, it just works and works well.",positive
"Overall, Somewhere in the middle for me, has its ups and downs like most things.",neutral
"In my opinion, Completely underwhelmed, the whole thing felt rushed and cheaply put together.",negative
"Overall, Broke down almost right away and nobody seemed to care about fixing it.",negative
"Overall, Somewhere in the middle for me, has its ups and downs like most things.",neutral
"Honestly, It's fine for casual use, though I wouldn't call it exceptional by any means.",neutral
"In my opinion, This vacation was fantastic from start to finish.",positive
"In my opinion, This phone fell apart within a week, total waste of money.",negative
"Honestly, Left feeling annoyed and cheated, definitely steering clear from now on.",negative
"In my opinion, Awful experience, the phone didn't work as advertised at all.",negative
"In my opinion, This was a joy to use from the very first minute, highly recommend.",positive
"To be fair, Best purchase I've made in ages, I use it every single day now.",positive
"To be fair, Terrible game, I regret ever purchasing it.",negative
"To be fair, The show broke almost immediately, very frustrating.",negative
"To be fair, Everything went wrong from the start, honestly regret the whole thing.",negative
"To be fair, Honestly one of the best restaurants I've come across in a long time.",positive
"To be fair, Would not recommend this service to anyone, complete letdown.",negative
"In my opinion, Would not recommend this show to anyone, complete letdown.",negative
"To be fair, Honestly one of the best phones I've come across in a long time.",positive
"I want my money back, this was a total disaster from beginning to end.",negative
"In my opinion, It does the job, though I probably wouldn't go out of my way for it again.",neutral
"Overall, The course arrived on time, packaging was standard.",neutral
"Overall, Left feeling annoyed and cheated, definitely steering clear from now on.",negative
"In my opinion, I'm thrilled with how this turned out, couldn't ask for more honestly.",positive
"To be fair, Would not recommend this delivery to anyone, complete letdown.",negative
"Overall, Completely underwhelmed, the whole thing felt rushed and cheaply put together.",negative
"Everything went wrong from the start, honestly regret the whole thing.",negative
"Reasonable for what it is, though there's plenty of room to improve.",neutral
"To be fair, It's an average camera, does the job but nothing exciting.",neutral
Broke down almost right away and nobody seemed to care about fixing it.,negative
"So glad I gave this a shot, it made everything so much easier.",positive
"Overall, This was a joy to use from the very first minute, highly recommend.",positive
"To be fair, Five stars, the vacation was excellent and delivered on its promise.",positive
"Honestly, I was really disappointed with this hotel, wouldn't buy again.",negative
"In my opinion, Everything about this exceeded what I was hoping for, no complaints at all.",positive
"In my opinion, This movie fell apart within a week, total waste of money.",negative
"Overall, Such a pleasant experience with this laptop, I'm coming back for more.",positive
"In my opinion, It arrived as expected, works fine, just didn't leave much of an impression.",neutral
"In my opinion, The album blew me away, everything about it felt top notch.",positive
"To be fair, Honestly one of the best movies I've come across in a long time.",positive
"Honestly, The camera arrived on time, packaging was standard.",neutral
"To be fair, Nothing worked the way it should have, I ended up frustrated the whole time.",negative
"Terrible show, I regret ever purchasing it.",negative
"To be fair, Such a pleasant experience with this game, I'm coming back for more.",positive
"Honestly, Reasonable for what it is, though there's plenty of room to improve.",neutral
"In my opinion, This restaurant fell apart within a week, total waste of money.",negative
"Overall, Brilliant from beginning to end, one of my favorite experiences this year.",positive
"To be fair, Broke down almost right away and nobody seemed to care about fixing it.",negative
"In my opinion, The camera blew me away, everything about it felt top notch.",positive
"In my opinion, I'm thrilled with how this turned out, couldn't ask for more honestly.",positive
"I was really disappointed with this meal, wouldn't buy again.",negative
"Honestly, Not bad, not great - the game is just fine for the price.",neutral
"Overall, The vacation works as described, no complaints but no praise either.",neutral
"The app was okay, nothing more nothing less.",neutral
"Honestly, Middle of the road show, I have mixed feelings about it.",neutral
"Honestly, Left feeling annoyed and cheated, definitely steering clear from now on.",negative
"Not worth the price, the phone is poorly made.",negative
"To be fair, A mixed bag honestly, some things worked well and others didn't.",neutral
"Honestly, The game blew me away, everything about it felt top notch.",positive
"Pretty standard experience overall, nothing that really stood out either way.",neutral
"In my opinion, The album does what it's supposed to, nothing stood out.",neutral
"Such a pleasant experience with this movie, I'm coming back for more.",positive
"Honestly, Went above and beyond what I expected, genuinely happy with how this went.",positive
Honestly one of the best phones I've come across in a long time.,positive
"Overall, Honestly one of the best shows I've come across in a long time.",positive
"Overall, It arrived as expected, works fine, just didn't leave much of an impression.",neutral
"In my opinion, It's an average product, does the job but nothing exciting.",neutral
"Overall, The show broke almost immediately, very frustrating.",negative
"To be fair, Went above and beyond what I expected, genuinely happy with how this went.",positive
"To be fair, One star, the movie simply doesn't do what it claims.",negative
"To be fair, Not bad, not great - the album is just fine for the price.",neutral
"Got the job done without any drama, but nothing to write home about.",neutral
"To be fair, The app works as described, no complaints but no praise either.",neutral
"Honestly, Superb quality, the software felt carefully made and thoughtful.",positive
"Overall, Really happy I took the chance on this, exceeded all my expectations.",positive
"Honestly, It's an average laptop, does the job but nothing exciting.",neutral
"Overall, This was a joy to use from the very first minute, highly recommend.",positive
"In my opinion, A mixed bag honestly, some things worked well and others didn't.",neutral
"Honestly, Nothing worked the way it should have, I ended up frustrated the whole time.",negative
"Honestly, Pretty standard experience overall, nothing that really stood out either way.",neutral
"In my opinion, This made my week, everything felt smooth and well thought out.",positive
"In my opinion, Couldn't have asked for a better experience, staff and quality were amazing.",positive
"Overall, Not bad, not great - the delivery is just fine for the price.",neutral
This phone was fantastic from start to finish.,positive
"In my opinion, Left feeling annoyed and cheated, definitely steering clear from now on.",negative
"Honestly, I'm thrilled with how this turned out, couldn't ask for more honestly.",positive
"Overall, Brilliant from beginning to end, one of my favorite experiences this year.",positive
"Ended up loving every bit of this, will definitely be back for more.",positive
"Honestly, Middle of the road hotel, I have mixed feelings about it.",neutral
"Honestly, The movie does what it's supposed to, nothing stood out.",neutral
"Overall, Some parts were good, some were a bit lacking, evens out overall.",neutral
"Overall, Everything about this exceeded what I was hoping for, no complaints at all.",positive
"In my opinion, This laptop fell apart within a week, total waste of money.",negative
"Honestly, Five stars, the headphones was excellent and delivered on its promise.",positive
"Honestly, Terrible software, I regret ever purchasing it.",negative
"Overall, Great software, would recommend to anyone without hesitation.",positive
"In my opinion, Pretty standard experience overall, nothing that really stood out either way.",neutral
"To be fair, Really impressed with this album, worth every penny.",positive
"Overall, The album is functional but there's nothing memorable about it.",neutral
"Honestly, It does the job, though I probably wouldn't go out of my way for it again.",neutral
"I'm thrilled with how this turned out, couldn't ask for more honestly.",positive
"In my opinion, Everything about this exceeded what I was hoping for, no complaints at all.",positive
"Honestly, Honestly one of the best phones I've come across in a long time.",positive
"Nothing worked the way it should have, I ended up frustrated the whole time.",negative
"Really impressed with this phone, worth every penny.",positive
"To be fair, The hotel does what it's supposed to, nothing stood out.",neutral
"Honestly, Pretty standard experience overall, nothing that really stood out either way.",neutral
"Honestly, Average at best, wouldn't go out of my way to try it again soon.",neutral
"Overall, I absolutely loved this service, it exceeded every expectation.",positive
"In my opinion, It's an average phone, does the job but nothing exciting.",neutral
"Overall, Would not recommend this service to anyone, complete letdown.",negative
"Overall, It's fine for casual use, though I wouldn't call it exceptional by any means.",neutral
"To be fair, The phone arrived on time, packaging was standard.",neutral
"To be fair, Average at best, wouldn't go out of my way to try it again soon.",neutral
"Honestly, I had high hopes but the show let me down badly.",negative
"In my opinion, Not worth the price, the meal is poorly made.",negative
"Honestly, It's fine for casual use, though I wouldn't call it exceptional by any means.",neutral
"To be fair, This restaurant fell apart within a week, total waste of money.",negative
"Overall, It arrived as expected, works fine, just didn't leave much of an impression.",neutral
"To be fair, Not bad, not great - the software is just fine for the price.",neutral
"In my opinion, This made my week, everything felt smooth and well thought out.",positive
"Fell short in every way imaginable, wouldn't wish this on anyone.",negative
"To be fair, The headphones arrived on time, packaging was standard.",neutral
"Great headphones, would recommend to anyone without hesitation.",positive
I can't stop recommending this meal to friends and family.,positive
"To be fair, The delivery arrived on time, packaging was standard.",neutral
"To be fair, The game broke almost immediately, very frustrating.",negative
"It does the job, though I probably wouldn't go out of my way for it again.",neutral
"Left feeling annoyed and cheated, definitely steering clear from now on.",negative
"Honestly, Waste of time and money, this vacation was a huge disappointment.",negative
"In my opinion, The movie is functional but there's nothing memorable about it.",neutral
"Honestly, Pretty standard experience overall, nothing that really stood out either way.",neutral
"Not bad, not great - the app is just fine for the price.",neutral
"Painfully slow and clunky, honestly a headache to deal with.",negative
"Awful experience, the meal didn't work as advertised at all.",negative
"Overall, Poor quality control, the product arrived damaged and unusable.",negative
"In my opinion, The phone works as described, no complaints but no praise either.",neutral
"Overall, Completely underwhelmed, the whole thing felt rushed and cheaply put together.",negative
"Fell short in every way imaginable, wouldn't wish this on anyone.",negative
"Overall, The laptop was okay, nothing more nothing less.",neutral
"In my opinion, Everything felt cheap and rushed, deeply disappointing given the price.",negative
"In my opinion, It's a fairly ordinary delivery, similar to others in this category.",neutral
"Nothing worked the way it should have, I ended up frustrated the whole time.",negative
"In my opinion, It does the job, though I probably wouldn't go out of my way for it again.",neutral
"Not worth the price, the app is poorly made.",negative
"To be fair, Great course, would recommend to anyone without hesitation.",positive
"In my opinion, I'm thrilled with how this turned out, couldn't ask for more honestly.",positive
"Honestly, I was really disappointed with this laptop, wouldn't buy again.",negative
"Some parts were good, some were a bit lacking, evens out overall.",neutral
"The product arrived on time, packaging was standard.",neutral
"Honestly, Really happy I took the chance on this, exceeded all my expectations.",positive
"Ended up loving every bit of this, will definitely be back for more.",positive
"To be fair, It's a fairly ordinary game, similar to others in this category.",neutral
"Honestly, Never again, this was hands down one of my worst experiences this year.",negative
"The show blew me away, everything about it felt top notch.",positive
"In my opinion, The product was mediocre at best, nothing special about it.",negative
"Overall, Fell short in every way imaginable, wouldn't wish this on anyone.",negative
"The course works as described, no complaints but no praise either.",neutral
"To be fair, A mixed bag honestly, some things worked well and others didn't.",neutral
"Honestly, Best purchase I've made in ages, I use it every single day now.",positive
"To be fair, Awful experience, the headphones didn't work as advertised at all.",negative
"In my opinion, It does the job, though I probably wouldn't go out of my way for it again.",neutral
"To be fair, Five stars, the gadget was excellent and delivered on its promise.",positive
"This product fell apart within a week, total waste of money.",negative
"To be fair, Such a letdown, expected way more and got almost nothing in return.",negative
"Overall, Couldn't have asked for a better experience, staff and quality were amazing.",positive
"In my opinion, Some parts were good, some were a bit lacking, evens out overall.",neutral
"Fell short in every way imaginable, wouldn't wish this on anyone.",negative
"In my opinion, This restaurant made my day, genuinely wonderful.",positive
"To be fair, Nothing worked the way it should have, I ended up frustrated the whole time.",negative
"Honestly, Great hotel, would recommend to anyone without hesitation.",positive
"Honestly, So glad I gave this a shot, it made everything so much easier.",positive
Honestly one of the best phones I've come across in a long time.,positive
"To be fair, It's a fairly ordinary movie, similar to others in this category.",neutral
"Overall, Honestly one of the best gadgets I've come across in a long time.",positive
"In my opinion, Such a pleasant experience with this product, I'm coming back for more.",positive
"The product was okay, nothing more nothing less.",neutral
"Overall, Can't believe how good this turned out, best decision I made all week.",positive
"In my opinion, Got the job done without any drama, but nothing to write home about.",neutral
"In my opinion, Great course, would recommend to anyone without hesitation.",positive
"Fell short in every way imaginable, wouldn't wish this on anyone.",negative
"Honestly, The product works as described, no complaints but no praise either.",neutral
"To be fair, Really happy I took the chance on this, exceeded all my expectations.",positive
The show is functional but there's nothing memorable about it.,neutral
"In my opinion, Middle of the road restaurant, I have mixed feelings about it.",neutral
"In my opinion, Not bad, not great - the restaurant is just fine for the price.",neutral
"Honestly, It does the job, though I probably wouldn't go out of my way for it again.",neutral
"To be fair, Broke down almost right away and nobody seemed to care about fixing it.",negative
"Overall, Five stars, the product was excellent and delivered on its promise.",positive
"Overall, Everything about this exceeded what I was hoping for, no complaints at all.",positive
"To be fair, It arrived as expected, works fine, just didn't leave much of an impression.",neutral
"Honestly, It's an average album, does the job but nothing exciting.",neutral
"Overall, What a fantastic laptop, it just works and works well.",positive
"To be fair, One star, the service simply doesn't do what it claims.",negative
"Overall, Everything went wrong from the start, honestly regret the whole thing.",negative
"Honestly, Superb quality, the restaurant felt carefully made and thoughtful.",positive
"Honestly, Couldn't have asked for a better experience, staff and quality were amazing.",positive
"Overall, Fell short in every way imaginable, wouldn't wish this on anyone.",negative
"Overall, I'm thrilled with how this turned out, couldn't ask for more honestly.",positive
"Really impressed with this movie, worth every penny.",positive
"In my opinion, Neither impressed nor disappointed by this headphones.",neutral
"To be fair, Would not recommend this app to anyone, complete letdown.",negative
"Overall, Broke down almost right away and nobody seemed to care about fixing it.",negative
"Honestly, It's an average meal, does the job but nothing exciting.",neutral
"To be fair, Pretty standard experience overall, nothing that really stood out either way.",neutral
"In my opinion, It does the job, though I probably wouldn't go out of my way for it again.",neutral
"In my opinion, It's an average course, does the job but nothing exciting.",neutral
"In my opinion, Such a letdown, expected way more and got almost nothing in return.",negative
This gadget was fantastic from start to finish.,positive
"Overall, Got the job done without any drama, but nothing to write home about.",neutral
"This made my week, everything felt smooth and well thought out.",positive
"Overall, What a fantastic hotel, it just works and works well.",positive
"Honestly, It's an average game, does the job but nothing exciting.",neutral
"Honestly, Left feeling annoyed and cheated, definitely steering clear from now on.",negative
"Waste of time and money, this gadget was a huge disappointment.",negative
"In my opinion, Nothing worked the way it should have, I ended up frustrated the whole time.",negative
"Left feeling annoyed and cheated, definitely steering clear from now on.",negative
"To be fair, Reasonable for what it is, though there's plenty of room to improve.",neutral
"The gadget broke almost immediately, very frustrating.",negative
"Overall, Everything about this exceeded what I was hoping for, no complaints at all.",positive
"Would not recommend this movie to anyone, complete letdown.",negative
"To be fair, A mixed bag honestly, some things worked well and others didn't.",neutral
"Honestly, It does the job, though I probably wouldn't go out of my way for it again.",neutral
"To be fair, It arrived as expected, works fine, just didn't leave much of an impression.",neutral
"Such a pleasant experience with this gadget, I'm coming back for more.",positive
"Painfully slow and clunky, honestly a headache to deal with.",negative
"To be fair, Not bad, not great - the book is just fine for the price.",neutral
"Overall, Somewhere in the middle for me, has its ups and downs like most things.",neutral
"Honestly, Reasonable for what it is, though there's plenty of room to improve.",neutral
"Overall, Not bad, not great - the restaurant is just fine for the price.",neutral
"To be fair, The gadget was mediocre at best, nothing special about it.",negative
"To be fair, Really happy I took the chance on this, exceeded all my expectations.",positive
"Honestly, Everything felt cheap and rushed, deeply disappointing given the price.",negative
"Overall, Reasonable for what it is, though there's plenty of room to improve.",neutral
"Overall, Superb quality, the headphones felt carefully made and thoughtful.",positive
"Overall, It's a fairly ordinary album, similar to others in this category.",neutral
Broke down almost right away and nobody seemed to care about fixing it.,negative
"Fell short in every way imaginable, wouldn't wish this on anyone.",negative
"Really happy I took the chance on this, exceeded all my expectations.",positive
"Overall, The phone was mediocre at best, nothing special about it.",negative
"Honestly, Everything about this exceeded what I was hoping for, no complaints at all.",positive
"Honestly, Painfully slow and clunky, honestly a headache to deal with.",negative
"To be fair, Neither impressed nor disappointed by this app.",neutral
"Really happy I took the chance on this, exceeded all my expectations.",positive
"In my opinion, Got the job done without any drama, but nothing to write home about.",neutral
"I'm thrilled with how this turned out, couldn't ask for more honestly.",positive
"Honestly, Such a pleasant experience with this laptop, I'm coming back for more.",positive
"Honestly, What a fantastic show, it just works and works well.",positive
"In my opinion, Nothing worked the way it should have, I ended up frustrated the whole time.",negative
"Honestly, The meal was mediocre at best, nothing special about it.",negative
"In my opinion, I had high hopes but the software let me down badly.",negative
"Great course, would recommend to anyone without hesitation.",positive
"Left feeling annoyed and cheated, definitely steering clear from now on.",negative
"In my opinion, Great vacation, would recommend to anyone without hesitation.",positive
"Honestly, Five stars, the movie was excellent and delivered on its promise.",positive
"In my opinion, Awful experience, the game didn't work as advertised at all.",negative
"Honestly, This was a joy to use from the very first minute, highly recommend.",positive
"In my opinion, The book works as described, no complaints but no praise either.",neutral
"Completely underwhelmed, the whole thing felt rushed and cheaply put together.",negative
"To be fair, It's an average phone, does the job but nothing exciting.",neutral
"In my opinion, It does the job, though I probably wouldn't go out of my way for it again.",neutral
"Honestly, It's an average course, does the job but nothing exciting.",neutral
"Poor quality control, the meal arrived damaged and unusable.",negative
"Overall, Great camera, would recommend to anyone without hesitation.",positive
"In my opinion, The meal broke almost immediately, very frustrating.",negative
"Honestly, This meal fell apart within a week, total waste of money.",negative
"Overall, Honestly one of the best cameras I've come across in a long time.",positive
"Went above and beyond what I expected, genuinely happy with how this went.",positive
"Honestly, Average at best, wouldn't go out of my way to try it again soon.",neutral
"In my opinion, Awful experience, the movie didn't work as advertised at all.",negative
"Honestly, Went above and beyond what I expected, genuinely happy with how this went.",positive
"Honestly, I want my money back, this was a total disaster from beginning to end.",negative
"To be fair, The delivery does what it's supposed to, nothing stood out.",neutral
"Honestly, Neither impressed nor disappointed by this camera.",neutral
"In my opinion, This was a joy to use from the very first minute, highly recommend.",positive
"To be fair, Ended up loving every bit of this, will definitely be back for more.",positive
"To be fair, Not bad, not great - the album is just fine for the price.",neutral
"Average at best, wouldn't go out of my way to try it again soon.",neutral
"In my opinion, So glad I gave this a shot, it made everything so much easier.",positive
"Overall, It arrived as expected, works fine, just didn't leave much of an impression.",neutral
"To be fair, The movie is functional but there's nothing memorable about it.",neutral
"In my opinion, The phone was okay, nothing more nothing less.",neutral
"Overall, Great camera, would recommend to anyone without hesitation.",positive
"Honestly, Terrible software, I regret ever purchasing it.",negative
"To be fair, I'm thrilled with how this turned out, couldn't ask for more honestly.",positive
"Pretty standard experience overall, nothing that really stood out either way.",neutral
"In my opinion, Neither impressed nor disappointed by this course.",neutral
"Overall, Not worth the price, the software is poorly made.",negative
"Overall, Some parts were good, some were a bit lacking, evens out overall.",neutral
"To be fair, I had high hopes but the laptop let me down badly.",negative
"Honestly, Neither impressed nor disappointed by this phone.",neutral
"It's an average hotel, does the job but nothing exciting.",neutral
"Honestly, Great book, would recommend to anyone without hesitation.",positive
"To be fair, The course broke almost immediately, very frustrating.",negative
"Honestly, A mixed bag honestly, some things worked well and others didn't.",neutral
"In my opinion, Really impressed with this course, worth every penny.",positive
"In my opinion, Pretty standard experience overall, nothing that really stood out either way.",neutral
"To be fair, Some parts were good, some were a bit lacking, evens out overall.",neutral
"Honestly, The restaurant was mediocre at best, nothing special about it.",negative
"To be fair, Would not recommend this course to anyone, complete letdown.",negative
"In my opinion, Middle of the road show, I have mixed feelings about it.",neutral
Honestly one of the best games I've come across in a long time.,positive
"Honestly, This laptop was fantastic from start to finish.",positive
"To be fair, Kept having issue after issue, support was no help whatsoever either.",negative
"Honestly, Everything went wrong from the start, honestly regret the whole thing.",negative
"To be fair, It's fine for casual use, though I wouldn't call it exceptional by any means.",neutral
"Honestly, Kept having issue after issue, support was no help whatsoever either.",negative
"In my opinion, I absolutely loved this software, it exceeded every expectation.",positive
"To be fair, The headphones arrived on time, packaging was standard.",neutral
"In my opinion, The app works as described, no complaints but no praise either.",neutral
"Honestly, I can't stop recommending this hotel to friends and family.",positive
"To be fair, The vacation is functional but there's nothing memorable about it.",neutral
"Honestly, The course was mediocre at best, nothing special about it.",negative
"To be fair, Poor quality control, the delivery arrived damaged and unusable.",negative
"In my opinion, Went above and beyond what I expected, genuinely happy with how this went.",positive
"Honestly, It arrived as expected, works fine, just didn't leave much of an impression.",neutral
"Overall, This app made my day, genuinely wonderful.",positive
"Honestly, The hotel blew me away, everything about it felt top notch.",positive
"Ended up loving every bit of this, will definitely be back for more.",positive
"In my opinion, Poor quality control, the software arrived damaged and unusable.",negative
"In my opinion, Never again, this was hands down one of my worst experiences this year.",negative
"In my opinion, What a fantastic hotel, it just works and works well.",positive
"Honestly, Left feeling annoyed and cheated, definitely steering clear from now on.",negative
"Five stars, the laptop was excellent and delivered on its promise.",positive
"Honestly, Some parts were good, some were a bit lacking, evens out overall.",neutral
"Honestly, Somewhere in the middle for me, has its ups and downs like most things.",neutral
"Overall, I had high hopes but the movie let me down badly.",negative
"In my opinion, Great game, would recommend to anyone without hesitation.",positive
"Overall, What a fantastic course, it just works and works well.",positive
"To be fair, This gadget fell apart within a week, total waste of money.",negative
"Overall, Average at best, wouldn't go out of my way to try it again soon.",neutral
"Honestly, I can't stop recommending this product to friends and family.",positive
"Honestly, Neither impressed nor disappointed by this meal.",neutral
"In my opinion, Poor quality control, the service arrived damaged and unusable.",negative
"Overall, Superb quality, the movie felt carefully made and thoughtful.",positive
"To be fair, Waste of time and money, this restaurant was a huge disappointment.",negative
"Honestly, The software was mediocre at best, nothing special about it.",negative
This app was fantastic from start to finish.,positive
"It's fine for casual use, though I wouldn't call it exceptional by any means.",neutral
